match,game_time,home_name,away_name,home_score,away_score,game_description
548,11/26/2021 09:00,RAPIDS SOUTH 09B ELITE,DDYSC HOUSTON DYNAMO YOUTH ECNL RL 09,1,0,
550,11/26/2021 09:00,ALBION HURRICANES AHFC 09B,ASPIRE FC 09 YELLOW,3,0,
568,11/26/2021 09:00,EP LOCOMOTIVE FC EP LOCOMOT,AZTECAS FUTBOL AZTECAS FC 09B Blue,6,0,
539,11/26/2021 09:45,PRIMOS FC,DYNAMO WOODLANDS 09 PA,1,0,
553,11/26/2021 11:00,SOCCER CENTRO 09,ASPIRE FC 09 YELLOW,3,0,
532,11/26/2021 11:10,CHELSEA EAST 09,RISE SC RISE U13B ECNL,0,0,
569,11/26/2021 12:15,IMPERIAL SC 09B,MSK RAYADOS 09B,5,0,
529,11/26/2021 12:20,TEXAS TIGRES 09',ID REAL HOUSTON 09B Q,0,4,
570,11/26/2021 12:30,ID CHELSEA JR 09B Q,HOUSTONIANS FC 09B,4,0,
542,11/26/2021 13:30,AVANTI SOCCER ACADEMY 09B,SPORTS GROUP 1 SG1 09B,0,1,
556,11/26/2021 13:45,RAPIDS SOUTH 09B ELITE,AVANTI SOCCER ACADEMY 09B WEST,0,0,
557,11/26/2021 15:00,DDYSC HOUSTON DYNAMO YOUTH ECNL RL 09,ASPIRE FC 09 YELLOW,2,1,
534,11/26/2021 17:15,PRIMOS FC,SPORTS GROUP 1 SG1 09B,0,1,
533,11/26/2021 17:45,BARÇA ACADEMY NASHVILLE BAR,DYNAMO WOODLANDS 09 PA,1,1,
523,11/26/2021 19:20,CADENCE SFC 2009 ACADEMY,ID REAL HOUSTON 09B Q,0,4,
524,11/26/2021 19:20,TEXAS TIGRES 09',RISE SC RISE U13B ECNL,0,0,
565,11/26/2021 21:45,MSK RAYADOS 09B,HOUSTONIANS FC 09B,0,1,
574,11/27/2021 08:15,SPORTS GROUP 1 SG1 09B,AVANTI SOCCER ACADEMY 09B WEST,0,4,gold semi
580,11/27/2021 08:15,AVANTI SOCCER ACADEMY 09B,RAPIDS SOUTH 09B ELITE,0,4,bronze semi
585,11/27/2021 08:30,CADENCE SFC 2009 ACADEMY,AZTECAS FUTBOL AZTECAS FC 09B Blue,1,5,quartz semi
586,11/27/2021 08:30,DYNAMO WOODLANDS 09 PA,SOCCER CENTRO 09,5,4,quartz semi
573,11/27/2021 10:00,ID REAL HOUSTON 09B Q,ID CHELSEA JR 09B Q,1,2,gold semi
579,11/27/2021 10:00,CHELSEA EAST 09,HOUSTONIANS FC 09B,1,3,bronze semi
582,11/27/2021 10:00,RISE SC RISE U13B ECNL,IMPERIAL SC 09B,1,2,copper semi
583,11/27/2021 10:00,BARÇA ACADEMY NASHVILLE BAR,DDYSC HOUSTON DYNAMO YOUTH ECNL RL 09,2,4,copper semi
576,11/27/2021 11:45,TEXAS TIGRES 09',EP LOCOMOTIVE FC EP LOCOMOT,0,2,silver semi
577,11/27/2021 12:00,PRIMOS FC,ALBION HURRICANES AHFC 09B,0,8,silver semi
581,11/28/2021 13:15,HOUSTONIANS FC 09B,RAPIDS SOUTH 09B ELITE,0,3,bronze final
575,11/28/2021 13:30,ID CHELSEA JR 09B Q,AVANTI SOCCER ACADEMY 09B WEST,0,1,gold final
587,11/28/2021 14:40,AZTECAS FUTBOL AZTECAS FC 09B Blue,DYNAMO WOODLANDS 09 PA,3,1,quartz final
578,11/28/2021 15:15,EP LOCOMOTIVE FC EP LOCOMOT,ALBION HURRICANES AHFC 09B,1,0,silver final
584,11/28/2021 15:15,IMPERIAL SC 09B,DDYSC HOUSTON DYNAMO YOUTH ECNL RL 09,2,0,copper final
